,zipcode,bd,variable,value,timestamp,month,quarter,year,prev_timestamp,prev_month_rent,inventory,prev_inventory
178,10454,2.0,2018-07,2050.0,2018-07-01,7,3,2018,2018-06-01,2225.0,31.0,32.0
179,10455,1.0,2018-07,1850.0,2018-07-01,7,3,2018,2018-06-01,1788.0,18.0,16.0
180,10455,2.0,2018-07,2050.0,2018-07-01,7,3,2018,2018-06-01,2225.0,20.0,16.5
181,10456,1.0,2018-07,1637.5,2018-07-01,7,3,2018,2018-06-01,1675.0,4.5,12.0
182,10456,2.0,2018-07,1950.0,2018-07-01,7,3,2018,2018-06-01,1900.0,8.5,7.5
183,10458,1.0,2018-07,1533.0,2018-07-01,7,3,2018,2018-06-01,1563.0,16.0,15.0
184,10463,0.0,2018-07,1475.0,2018-07-01,7,3,2018,2018-06-01,1525.0,18.0,14.0
185,10463,1.0,2018-07,1850.0,2018-07-01,7,3,2018,2018-06-01,1875.0,74.0,54.0
186,10463,2.0,2018-07,2350.0,2018-07-01,7,3,2018,2018-06-01,2400.0,61.0,63.0
187,10463,3.0,2018-07,2975.0,2018-07-01,7,3,2018,2018-06-01,3300.0,62.0,49.0
188,10468,1.0,2018-07,1533.0,2018-07-01,7,3,2018,2018-06-01,1563.0,12.333333333333336,13.666666666666664
189,10471,0.0,2018-07,1475.0,2018-07-01,7,3,2018,2018-06-01,1525.0,18.0,14.0
190,10471,1.0,2018-07,1850.0,2018-07-01,7,3,2018,2018-06-01,1875.0,74.0,54.0
191,10471,2.0,2018-07,2350.0,2018-07-01,7,3,2018,2018-06-01,2400.0,61.0,63.0
192,10471,3.0,2018-07,2975.0,2018-07-01,7,3,2018,2018-06-01,3300.0,62.0,49.0
193,11101,0.0,2018-07,2529.0,2018-07-01,7,3,2018,2018-06-01,2499.0,159.0,170.0
194,11101,1.0,2018-07,3175.0,2018-07-01,7,3,2018,2018-06-01,3100.0,321.0,357.0
195,11101,2.0,2018-07,3987.0,2018-07-01,7,3,2018,2018-06-01,4251.0,157.0,188.0
196,11101,3.0,2018-07,5375.0,2018-07-01,7,3,2018,2018-06-01,5350.0,44.0,45.0
197,11102,0.0,2018-07,1784.0,2018-07-01,7,3,2018,2018-06-01,1700.0,118.0,146.0
198,11102,1.0,2018-07,1900.0,2018-07-01,7,3,2018,2018-06-01,1850.0,750.0,867.0
199,11102,2.0,2018-07,2300.0,2018-07-01,7,3,2018,2018-06-01,2299.0,728.0,796.0
200,11102,3.0,2018-07,2950.0,2018-07-01,7,3,2018,2018-06-01,2945.0,369.0,385.0
201,11103,0.0,2018-07,1784.0,2018-07-01,7,3,2018,2018-06-01,1700.0,118.0,146.0
202,11103,1.0,2018-07,1900.0,2018-07-01,7,3,2018,2018-06-01,1850.0,750.0,867.0
203,11103,2.0,2018-07,2300.0,2018-07-01,7,3,2018,2018-06-01,2299.0,728.0,796.0
204,11103,3.0,2018-07,2950.0,2018-07-01,7,3,2018,2018-06-01,2945.0,369.0,385.0
205,11104,0.0,2018-07,1650.0,2018-07-01,7,3,2018,2018-06-01,1650.0,36.0,28.0
206,11104,1.0,2018-07,1850.0,2018-07-01,7,3,2018,2018-06-01,1868.0,146.0,132.0
207,11104,2.0,2018-07,2125.0,2018-07-01,7,3,2018,2018-06-01,2200.0,135.0,92.0
208,11104,3.0,2018-07,2600.0,2018-07-01,7,3,2018,2018-06-01,2298.0,23.0,32.0
209,11105,0.0,2018-07,1784.0,2018-07-01,7,3,2018,2018-06-01,1700.0,118.0,146.0
210,11105,1.0,2018-07,1900.0,2018-07-01,7,3,2018,2018-06-01,1850.0,750.0,867.0
211,11105,2.0,2018-07,2300.0,2018-07-01,7,3,2018,2018-06-01,2299.0,728.0,796.0
212,11105,3.0,2018-07,2950.0,2018-07-01,7,3,2018,2018-06-01,2945.0,369.0,385.0
213,11106,0.0,2018-07,1784.0,2018-07-01,7,3,2018,2018-06-01,1700.0,118.0,146.0
214,11106,1.0,2018-07,1900.0,2018-07-01,7,3,2018,2018-06-01,1850.0,750.0,867.0
215,11106,2.0,2018-07,2300.0,2018-07-01,7,3,2018,2018-06-01,2299.0,728.0,796.0
216,11106,3.0,2018-07,2950.0,2018-07-01,7,3,2018,2018-06-01,2945.0,369.0,385.0
217,11109,0.0,2018-07,2529.0,2018-07-01,7,3,2018,2018-06-01,2499.0,159.0,170.0
218,11109,1.0,2018-07,3175.0,2018-07-01,7,3,2018,2018-06-01,3100.0,321.0,357.0
219,11109,2.0,2018-07,3987.0,2018-07-01,7,3,2018,2018-06-01,4251.0,157.0,188.0
220,11109,3.0,2018-07,5375.0,2018-07-01,7,3,2018,2018-06-01,5350.0,44.0,45.0
221,11201,0.0,2018-07,2385.0,2018-07-01,7,3,2018,2018-06-01,2367.5,85.0,88.0
222,11201,1.0,2018-07,3097.0,2018-07-01,7,3,2018,2018-06-01,3156.0,162.0,149.0
223,11201,2.0,2018-07,4630.0,2018-07-01,7,3,2018,2018-06-01,4514.5,78.5,84.0
224,11201,3.0,2018-07,8500.0,2018-07-01,7,3,2018,2018-06-01,9675.0,31.0,24.5
225,11203,0.0,2018-07,1600.0,2018-07-01,7,3,2018,2018-06-01,1554.0,27.5,27.0
226,11203,1.0,2018-07,1733.0,2018-07-01,7,3,2018,2018-06-01,1662.5,97.0,73.0
227,11203,2.0,2018-07,2069.0,2018-07-01,7,3,2018,2018-06-01,2050.0,170.0,128.0
228,11203,3.0,2018-07,2500.0,2018-07-01,7,3,2018,2018-06-01,2500.0,121.0,104.0
229,11204,1.0,2018-07,1585.0,2018-07-01,7,3,2018,2018-06-01,1594.0,36.5,33.0
230,11204,2.0,2018-07,1887.0,2018-07-01,7,3,2018,2018-06-01,1887.5,35.5,37.0
231,11206,0.0,2018-07,2281.5,2018-07-01,7,3,2018,2018-06-01,2325.0,156.0,154.0
232,11206,1.0,2018-07,2466.0,2018-07-01,7,3,2018,2018-06-01,2475.0,541.0,505.5
233,11206,2.0,2018-07,2742.5,2018-07-01,7,3,2018,2018-06-01,2700.0,1070.0,909.0
234,11206,3.0,2018-07,3414.0,2018-07-01,7,3,2018,2018-06-01,3375.0,1100.5,846.5
235,11207,0.0,2018-07,2063.0,2018-07-01,7,3,2018,2018-06-01,2150.0,33.0,30.0
236,11207,1.0,2018-07,1916.0,2018-07-01,7,3,2018,2018-06-01,1900.0,102.5,104.0
237,11207,2.0,2018-07,2195.0,2018-07-01,7,3,2018,2018-06-01,2162.5,418.0,377.5
238,11207,3.0,2018-07,2647.5,2018-07-01,7,3,2018,2018-06-01,2650.0,673.0,529.0
239,11208,1.0,2018-07,1650.0,2018-07-01,7,3,2018,2018-06-01,1600.0,5.0,11.0
240,11208,2.0,2018-07,1900.0,2018-07-01,7,3,2018,2018-06-01,1925.0,25.0,18.0
241,11208,3.0,2018-07,2300.0,2018-07-01,7,3,2018,2018-06-01,2300.0,58.0,53.0
242,11210,0.0,2018-07,1500.0,2018-07-01,7,3,2018,2018-06-01,1496.0,37.0,28.0
243,11210,1.0,2018-07,1720.5,2018-07-01,7,3,2018,2018-06-01,1675.0,123.5,110.0
244,11210,2.0,2018-07,2050.0,2018-07-01,7,3,2018,2018-06-01,2050.0,158.5,124.5
245,11210,3.0,2018-07,2512.5,2018-07-01,7,3,2018,2018-06-01,2482.5,91.0,80.5
246,11211,0.0,2018-07,2449.5,2018-07-01,7,3,2018,2018-06-01,2420.0,140.0,149.5
247,11211,1.0,2018-07,2625.0,2018-07-01,7,3,2018,2018-06-01,2575.0,519.5,487.0
248,11211,2.0,2018-07,2972.5,2018-07-01,7,3,2018,2018-06-01,2950.0,814.0,675.5
